UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y
54452836,252,9000,באר שבע,האוניברסיטה - הפתוחה באר שבע,,13,5380,179507.73532700000,572444.87839400000,0,,179507.73532700000,572444.87839400000
54450440,252,9000,באר שבע,בית ספר - בן גוריון,,13,5310,181916.21772700001,575383.59569400002,0,,181916.21772700001,575383.59569400002
54450456,252,9000,באר שבע,גן ילדים - גן המעפילים,,13,5305,181522.13072700001,573107.72539399995,0,,181522.13072700001,573107.72539399995
54448309,252,1031,שדרות,בית ספר - שקמים,,13,5310,161408.50682700000,603624.85759399994,0,,161408.50682700000,603624.85759399994
64763939,252,1031,שדרות,בית ספר - שקמים מעוז,,13,5310,161285.90862700000,604728.50399400003,0,,161285.90862700000,604728.50399400003
61240971,252,1054,תל שבע,גן ילדים שכונה 6,,13,5305,186326.67852700001,573332.70599399996,0,,186326.67852700001,573332.70599399996
